dårlig, dårligt, dårlige
gal, galt, gale
kriminel, kriminelt, kriminelle
ond, ondt, onde
led, ledt, lede
forfærdelig, forfærdeligt, forfærdelige
vanvittig, vanvittigt, vanvittige
grim, grimt, grimme
voldelig, voldeligt, voldelige
elendig, elendigt, elendige
tåbelig, tåbeligt, tåbelige
klam, klamt, klamme
vred, vredt, vrede
idiotisk, idiotisk, idiotiske
åndssvag, åndssvagt, åndssvage
ulækker, ulækkert, ulækre
hyklerisk, hyklerisk, hykleriske
desperat, desperat, desperate
frygtelig, frygteligt, frygtelige
grotesk, grotesk, groteske
tragisk, tragisk, tragiske
forkastelig, forkasteligt, forkastelige
egoistisk, egoistisk, egoistiske 
ussel, usselt, usle
hysterisk, hysterisk, hysteriske
