sjov, sjovt, sjove
glad, glad, glade
super, super, super
fantastisk, fantastisk, fantastiske
spændende, spændende, spændende
dejlig, dejligt, dejlige
lækker, lækkert, lækre
flot, flot, flotte
perfekt, perfekt, perfekte
populær, populært, populære
heldig, heldigt, heldige
smuk, smukt, smukke
nice, nice, nice
attraktiv, attraktivt, attraktive 
skøn, skønt, skønne
imponerende, imponerende, imponerende
genial, genialt, geniale
lykkelig, lykkeligt, lykkelige
fremragende, fremragende, fremragende
skæg, skægt, skægge
suveræn, suverænt, suveræne
herlig, herligt, herlige
fornem, fornemt, fornemme
ekstraordinær, ekstraordinært, ekstraordinære
loyal, loyalt, loyale
